"","k2","k3","k4","k5","k6","k7","k8","k9","k10"
"1",0.685,0.9728,0.9339,0.8622,0.8663,0.8575,0.8571,0.8576,0.8746
"2",0.696,0.9679,0.879,0.8869,0.8702,0.8774,0.8483,0.8559,0.8817
"3",0.8,0.9621,0.9083,0.8556,0.8246,0.8298,0.8357,0.8953,0.8984
"4",0.7264,0.9671,0.9091,0.8169,0.8647,0.8189,0.855,0.8668,0.8816
"5",0.7703,0.9513,0.7534,0.8348,0.8346,0.843,0.8532,0.8857,0.8748
"6",0.5029,0.9771,0.9354,0.8223,0.8157,0.8536,0.856,0.8688,0.8766
"7",0.7059,0.9663,0.8993,0.8583,0.8957,0.8682,0.8469,0.8793,0.8653
"8",0.9456,0.9613,0.9248,0.8912,0.8544,0.8691,0.8367,0.881,0.8872
"9",0.7143,0.9627,0.946,0.8193,0.8456,0.8585,0.8668,0.8846,0.8791
"10",0.6964,0.9426,0.811,0.8393,0.828,0.8844,0.8545,0.8671,0.8927
"11",0.924,0.9394,0.9428,0.7918,0.8759,0.8377,0.8761,0.8547,0.87
"12",0.9285,0.9729,0.8833,0.822,0.9072,0.8417,0.8901,0.8582,0.8857
"13",0.7206,0.9701,0.7935,0.8476,0.9003,0.8425,0.8566,0.8931,0.8726
"14",0.7483,0.979,0.9168,0.8048,0.8511,0.8454,0.8616,0.8751,0.8596
"15",0.7347,0.9664,0.958,0.8374,0.8235,0.871,0.8828,0.8778,0.8722
"16",0.9714,0.9649,0.9328,0.935,0.8591,0.8406,0.9,0.8545,0.8938
"17",0.7536,0.9629,0.812,0.9162,0.8502,0.8721,0.8492,0.8603,0.8664
"18",0.957,0.9555,0.9591,0.9257,0.8187,0.8943,0.8867,0.8929,0.8899
"19",0.7742,0.936,0.8546,0.9099,0.9363,0.8591,0.8614,0.8721,0.8749
"20",0.7249,0.9699,0.8581,0.821,0.8779,0.8297,0.9053,0.8733,0.8749
"21",0.7457,0.9469,0.7672,0.91,0.906,0.8876,0.843,0.8618,0.903
"22",0.7581,0.9615,0.9427,0.9495,0.8446,0.8464,0.9099,0.8918,0.8881
"23",0.9686,0.9551,0.9286,0.8586,0.8248,0.8382,0.8399,0.8791,0.9139
"24",0.86,0.9615,0.9449,0.8644,0.8615,0.8742,0.8616,0.8828,0.8678
"25",0.8241,0.9417,0.9346,0.8119,0.8563,0.8552,0.8831,0.8258,0.8825
"26",0.7497,0.9693,0.872,0.8971,0.8729,0.8652,0.8803,0.8932,0.87
